"FIPS","STNAME","CTYNAME","AGEGRP","AGE_GROUP","TOT_POP","NH_POP","H_POP","WA_POP","BA_POP","AA_POP","NA_POP","TOT_MALE","NH_MALE","H_MALE","WA_MALE","BA_MALE","AA_MALE","NA_MALE","TOT_FEMALE","WA_FEMALE","BA_FEMALE","AA_FEMALE","NA_FEMALE","NH_FEMALE","H_FEMALE","high_number","BA_FV"
5001,"Arkansas","Arkansas County",0,"Total",17769,17187,582,12810,4420,148,7,8593,8258,335,6325,2006,72,4,9176,6485,2414,76,3,8929,247,1,97.5152594818845
5003,"Arkansas","Ashley County",0,"Total",20046,18941,1105,14553,4994,51,20,9771,9149,622,7215,2283,24,13,10275,7338,2711,27,7,9792,483,1,109.512787264039
5005,"Arkansas","Baxter County",0,"Total",41619,40572,1047,40200,166,218,27,20096,19578,518,19397,99,68,11,21523,20803,67,150,16,20994,529,1,2.70651300136134
5007,"Arkansas","Benton County",0,"Total",272608,226633,45975,241735,5528,11131,1954,135582,111972,23610,119612,2926,6063,984,137026,122123,2602,5068,970,114661,22365,1,105.109654172272
5009,"Arkansas","Boone County",0,"Total",37480,36501,979,35930,160,258,43,18443,17978,465,17683,99,87,26,19037,18247,61,171,17,18523,514,1,2.46413870273196
5011,"Arkansas","Bradley County",0,"Total",10897,9185,1712,7488,3015,50,5,5306,4363,943,3732,1380,20,2,5591,3756,1635,30,3,4822,769,1,66.0469963765042
5013,"Arkansas","Calhoun County",0,"Total",5277,5062,215,3994,1127,15,1,2662,2547,115,2028,558,7,1,2615,1966,569,8,0,2515,100,0,22.9851626533522
5015,"Arkansas","Carroll County",0,"Total",28223,23921,4302,26272,228,436,302,14047,11852,2195,13040,127,232,169,14176,13232,101,204,133,12069,2107,1,4.07996736026112
5017,"Arkansas","Chicot County",0,"Total",10438,9834,604,4519,5669,78,4,5272,4922,350,2321,2808,46,1,5166,2198,2861,32,3,4912,254,0,115.572144729773
5019,"Arkansas","Clark County",0,"Total",22061,20984,1077,16013,5399,141,12,10452,9917,535,7703,2462,59,6,11609,8310,2937,82,6,11067,542,1,118.642219179078
5021,"Arkansas","Clay County",0,"Total",14847,14530,317,14411,114,29,3,7255,7078,177,7032,71,16,1,7592,7379,43,13,2,7452,140,1,1.73701580684384
5023,"Arkansas","Cleburne County",0,"Total",24965,24361,604,24136,108,125,10,12277,11990,287,11879,63,33,6,12688,12257,45,92,4,12371,317,1,1.8178072397203
5025,"Arkansas","Cleveland County",0,"Total",8018,7826,192,6915,929,13,3,3978,3872,106,3455,448,3,2,4040,3460,481,10,1,3954,86,1,19.4303396067881
5027,"Arkansas","Columbia County",0,"Total",23537,22855,682,14387,8453,251,10,11352,10972,380,7128,3869,107,4,12185,7259,4584,144,6,11883,302,1,185.173964152841
5029,"Arkansas","Conway County",0,"Total",20891,20051,840,17708,2391,97,7,10260,9827,433,8670,1177,44,4,10631,9038,1214,53,3,10224,407,1,49.0403997560099
5031,"Arkansas","Craighead County",0,"Total",108558,102934,5624,87000,17630,1355,61,52730,49783,2947,42503,8247,740,25,55828,44497,9383,615,36,53151,2677,1,379.033007339902
5033,"Arkansas","Crawford County",0,"Total",63406,58305,5101,57609,1018,1049,41,31258,28667,2591,28481,522,477,20,32148,29128,496,572,21,29638,2510,1,20.0362753533615
5035,"Arkansas","Crittenden County",0,"Total",48342,47075,1267,21006,26118,325,30,23011,22356,655,10372,12078,135,9,25331,10634,14040,190,21,24719,612,1,567.155858792734
5037,"Arkansas","Cross County",0,"Total",16676,16342,334,12415,3817,126,8,8044,7859,185,6025,1798,64,3,8632,6390,2019,62,5,8483,149,1,81.5589514887841
5039,"Arkansas","Dallas County",0,"Total",7182,6940,242,4020,2969,17,4,3549,3402,147,2036,1421,8,4,3633,1984,1548,9,0,3538,95,1,62.5325690463783
5041,"Arkansas","Desha County",0,"Total",11512,10774,738,5681,5531,73,17,5437,5057,380,2760,2528,42,8,6075,2921,3003,31,9,5717,358,1,121.308336464001
5043,"Arkansas","Drew County",0,"Total",18328,17618,710,12733,5136,124,6,8955,8584,371,6283,2438,57,4,9373,6450,2698,67,2,9034,339,1,108.987642950342
5045,"Arkansas","Faulkner County",0,"Total",124806,119641,5165,104282,15190,1633,98,60992,58230,2762,51326,7138,793,51,63814,52956,8052,840,47,61411,2403,1,325.266308760619
5047,"Arkansas","Franklin County",0,"Total",17810,17201,609,16839,172,186,35,8908,8550,358,8397,108,95,23,8902,8442,64,91,12,8651,251,0,2.58532585204665
5049,"Arkansas","Fulton County",0,"Total",12269,12081,188,11830,82,40,2,6021,5927,94,5798,40,15,2,6248,6032,42,25,0,6154,94,1,1.69662009040561
5051,"Arkansas","Garland County",0,"Total",99154,93343,5811,86303,8666,868,69,47660,44716,2944,41401,4251,340,40,51494,44902,4415,528,29,48627,2867,1,178.347088074781
5053,"Arkansas","Grant County",0,"Total",18188,17658,530,17220,508,74,12,8985,8699,286,8491,266,29,6,9203,8729,242,45,6,8959,244,1,9.77576337805139
5055,"Arkansas","Greene County",0,"Total",45325,44000,1325,43150,830,182,181,22289,21584,705,21172,414,88,101,23036,21978,416,94,80,22416,620,1,16.8046180383032
5057,"Arkansas","Hempstead County",0,"Total",21741,18878,2863,14370,6569,119,42,10482,8964,1518,7101,2982,51,20,11259,7269,3587,68,22,9914,1345,1,144.899434863927
5059,"Arkansas","Hot Spring County",0,"Total",33701,32514,1187,28803,3812,139,24,17643,16975,668,14913,2162,55,12,16058,13890,1650,84,12,15539,519,0,66.6529321230777
5061,"Arkansas","Howard County",0,"Total",13341,11664,1677,9992,2803,75,15,6417,5589,828,4862,1304,43,7,6924,5130,1499,32,8,6075,849,1,60.5531789409051
5063,"Arkansas","Independence County",0,"Total",37678,35213,2465,35447,881,305,87,18371,17104,1267,17259,460,144,47,19307,18188,421,161,40,18109,1198,1,17.0065966204944
5065,"Arkansas","Izard County",0,"Total",13593,13241,352,12915,281,71,2,7050,6866,184,6632,242,17,0,6543,6283,39,54,2,6375,168,0,1.57543294109093
5067,"Arkansas","Jackson County",0,"Total",16811,16324,487,13274,2979,87,33,8348,8072,276,6572,1514,34,18,8463,6702,1465,53,15,8252,211,1,59.1797245820053
5069,"Arkansas","Jefferson County",0,"Total",68114,66658,1456,27331,38912,590,78,33662,32819,843,13916,18806,299,42,34452,13415,20106,291,36,33839,613,1,812.19627470703
5071,"Arkansas","Johnson County",0,"Total",26742,22967,3775,24533,613,664,36,13264,11351,1913,12066,342,352,20,13478,12467,271,312,16,11616,1862,1,10.94723915476
5073,"Arkansas","Lafayette County",0,"Total",6682,6497,185,4091,2424,35,5,3283,3178,105,2067,1141,16,4,3399,2024,1283,19,1,3319,80,1,51.8277041902477
5075,"Arkansas","Lawrence County",0,"Total",16434,16158,276,15845,198,53,6,8112,7974,138,7793,105,28,4,8322,8052,93,25,2,8184,138,1,3.75680162875529
5077,"Arkansas","Lee County",0,"Total",8985,8760,225,3884,4868,53,2,5049,4907,142,2304,2613,30,2,3936,1580,2255,23,0,3853,83,0,91.0923405682062
5079,"Arkansas","Lincoln County",0,"Total",13383,12859,524,9009,4074,43,1,8273,7925,348,5152,2956,32,1,5110,3857,1118,11,0,4934,176,0,45.1624109779399
5081,"Arkansas","Little River County",0,"Total",12326,11869,457,9303,2445,58,9,5936,5705,231,4541,1126,21,6,6390,4762,1319,37,3,6164,226,1,53.2819499820239
5083,"Arkansas","Logan County",0,"Total",21737,21062,675,20211,337,522,5,10852,10493,359,10068,181,286,3,10885,10143,156,236,2,10569,316,1,6.30173176436371
5085,"Arkansas","Lonoke County",0,"Total",73657,70150,3507,66146,4675,689,59,36302,34393,1909,32673,2283,256,37,37355,33473,2392,433,22,35757,1598,1,96.6265537202435
5087,"Arkansas","Madison County",0,"Total",16481,15495,986,15535,149,133,83,8229,7710,519,7763,82,55,44,8252,7772,67,78,39,7785,467,1,2.70651300136134
5089,"Arkansas","Marion County",0,"Total",16722,16340,382,15989,94,112,10,8209,8030,179,7896,45,14,5,8513,8093,49,98,5,8310,203,1,1.97939010547322
5091,"Arkansas","Miller County",0,"Total",43592,42040,1552,31106,11002,219,31,21411,20598,813,15508,5174,105,13,22181,15598,5828,114,18,21442,739,1,235.426235401998
5093,"Arkansas","Mississippi County",0,"Total",41239,39514,1725,25478,14724,202,13,20077,19182,895,12697,6859,98,6,21162,12781,7865,104,7,20332,830,1,317.71230978667
5095,"Arkansas","Monroe County",0,"Total",6900,6695,205,3887,2762,50,0,3209,3089,120,1833,1255,23,0,3691,2054,1507,27,0,3606,85,1,60.8763446724109
5097,"Arkansas","Montgomery County",0,"Total",8924,8517,407,8374,72,143,3,4414,4224,190,4175,34,33,1,4510,4199,38,110,2,4293,217,1,1.5350372246527
5099,"Arkansas","Nevada County",0,"Total",8326,7975,351,5528,2578,44,2,4126,3948,178,2768,1237,21,2,4200,2760,1341,23,0,4027,173,1,54.1706557436649
5101,"Arkansas","Newton County",0,"Total",7805,7648,157,7438,45,31,1,3954,3872,82,3773,24,7,1,3851,3665,21,24,0,3776,75,0,0.848310045202807
5103,"Arkansas","Ouachita County",0,"Total",23606,23010,596,13380,9487,110,10,11196,10872,324,6575,4252,57,3,12410,6805,5235,53,7,12138,272,1,211.471575554128
5105,"Arkansas","Perry County",0,"Total",10352,10027,325,9789,210,34,3,5113,4931,182,4812,119,9,2,5239,4977,91,25,1,5096,143,1,3.67601019587883
5107,"Arkansas","Phillips County",0,"Total",18029,17656,373,6446,11186,90,2,8476,8266,210,3226,5039,46,0,9553,3220,6147,44,2,9390,163,1,248.312468945793
5109,"Arkansas","Pike County",0,"Total",10673,9989,684,9891,364,82,4,5336,4965,371,4908,202,43,2,5337,4983,162,39,2,5024,313,1,6.54410606299308
5111,"Arkansas","Poinsett County",0,"Total",23974,23205,769,21362,2020,71,9,11646,11219,427,10374,962,33,5,12328,10988,1058,38,4,11986,342,1,42.7386679916462
5113,"Arkansas","Polk County",0,"Total",20049,18729,1320,18778,127,207,10,9767,9080,687,9152,75,58,8,10282,9626,52,149,2,9649,633,1,2.1005772547879
5115,"Arkansas","Pope County",0,"Total",64000,58005,5995,58973,2155,806,58,31721,28641,3080,29153,1165,349,29,32279,29820,990,457,29,29364,2915,1,39.9917592738466
5117,"Arkansas","Prairie County",0,"Total",8074,7927,147,6970,949,11,6,4063,3968,95,3528,450,3,6,4011,3442,499,8,0,3959,52,0,20.1574625026762
5119,"Arkansas","Pulaski County",0,"Total",392680,368159,24521,225615,147401,9149,209,187731,174607,13124,110876,67439,4274,110,204949,114739,79962,4875,99,193552,11397,1,3230.12227783366
5121,"Arkansas","Randolph County",0,"Total",17948,17569,379,17047,183,73,233,8874,8673,201,8405,101,30,133,9074,8642,82,43,100,8896,178,1,3.31244874793477
5123,"Arkansas","St. Francis County",0,"Total",25439,24054,1385,11188,13468,162,17,14023,12880,1143,6467,7071,84,12,11416,4721,6397,78,5,11174,242,0,258.41139805535
5125,"Arkansas","Saline County",0,"Total",121421,115391,6030,107297,9788,1626,84,59489,56374,3115,52771,4638,706,49,61932,54526,5150,920,35,59017,2915,1,208.037939656879
5127,"Arkansas","Scott County",0,"Total",10319,9529,790,9389,70,338,5,5236,4782,454,4770,39,165,2,5083,4619,31,173,3,4747,336,0,1.2522672095851
5129,"Arkansas","Searcy County",0,"Total",7958,7745,213,7569,43,32,2,3988,3864,124,3782,27,13,2,3970,3787,16,19,0,3881,89,0,0.646331463011662
5131,"Arkansas","Sebastian County",0,"Total",127753,109094,18659,104707,8838,6051,269,62418,52883,9535,51106,4413,2902,139,65335,53601,4425,3149,130,56211,9124,1,178.751045239163
5133,"Arkansas","Sevier County",0,"Total",17139,11308,5831,15104,711,110,188,8622,5556,3066,7599,371,44,100,8517,7505,340,66,88,5752,2765,0,13.7345435889978
5135,"Arkansas","Sharp County",0,"Total",17366,16959,407,16576,159,96,12,8570,8369,201,8124,85,62,5,8796,8452,74,34,7,8590,206,1,2.98928301642894
5137,"Arkansas","Stone County",0,"Total",12457,12203,254,11994,54,58,5,6135,6012,123,5913,28,26,3,6322,6081,26,32,2,6191,131,1,1.05028862739395
5139,"Arkansas","Union County",0,"Total",39126,37511,1615,25071,12869,280,22,19038,18172,866,12404,6059,125,11,20088,12667,6810,155,11,19339,749,1,275.094828944339
5141,"Arkansas","Van Buren County",0,"Total",16603,16094,509,15970,106,61,4,8255,7951,304,7935,62,26,2,8348,8035,44,35,2,8143,205,1,1.77741152328207
5143,"Arkansas","Washington County",0,"Total",236961,196355,40606,205293,8708,6355,6132,118335,97569,20766,102188,4740,3127,3120,118626,103105,3968,3228,3012,98786,19840,1,160.290202826892
5145,"Arkansas","White County",0,"Total",78727,75262,3465,72297,3599,669,57,38321,36491,1830,35090,1830,345,28,40406,37207,1769,324,29,38771,1635,1,71.4600223792269
5147,"Arkansas","Woodruff County",0,"Total",6490,6351,139,4600,1705,18,5,3121,3044,77,2243,789,12,1,3369,2357,916,6,4,3307,62,1,37.0024762574177
5149,"Arkansas","Yell County",0,"Total",21535,17113,4422,20259,422,282,16,10811,8462,2349,10146,228,135,10,10724,10113,194,147,6,8651,2073,0,7.8367689890164
